time,hostname,FINGERPRINT,IP,MAC
2025-11-07T22:13:46.043701,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:14:16.784747,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:17:29.098752,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:18:33.189302,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:19:20.809829,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:19:46.153959,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:19:54.018573,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:21:27.593657,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:24:17.982876,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:24:51.281295,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:30:06.849342,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:30:28.781546,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:55:58.068988,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:56:18.612288,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:56:47.973960,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:57:20.183161,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:57:35.586081,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:58:05.135472,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T22:59:31.329401,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:08:45.174159,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:10:23.339761,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:10:46.993472,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:11:54.554086,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:12:47.899239,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
